user_id,plan_tier,monthly_fee,total_spend_60d,days_since_last_session,sessions_recent_14d,sessions_previous_14d,session_drop_pct,total_events_60d,core_feature_usage_count,avg_session_duration_minutes,avg_session_gap_days,support_ticket_count,unresolved_tickets,churn_label
1001,Basic,29.0,58.0,16,0,9,100.0,119,28,31.24,1.77,1,1,1
1002,Pro,99.0,198.0,2,3,2,-50.0,98,22,21.22,3.35,1,0,0
1003,Basic,29.0,58.0,1,12,10,-20.0,225,46,24.94,1.18,0,0,0
1004,Basic,29.0,58.0,28,0,0,0.0,109,30,25.04,1.3,1,0,0
1005,Pro,99.0,198.0,6,6,6,0.0,131,31,22.59,1.65,0,0,0
1006,Basic,29.0,107.0,22,0,5,100.0,112,29,25.08,1.53,1,0,1
1007,Pro,99.0,198.0,0,8,10,20.0,212,47,26.93,1.31,0,0,0
1008,Basic,29.0,58.0,1,10,11,9.09,208,43,21.89,1.19,0,0,0
1009,Basic,29.0,207.0,1,5,6,16.67,141,44,27.69,2.06,1,1,0
1010,Basic,29.0,58.0,0,10,11,9.09,192,42,23.16,1.35,1,0,0
1011,Pro,99.0,247.0,0,13,13,0.0,238,66,24.88,1.17,0,0,0
1012,Basic,29.0,58.0,0,15,12,-25.0,252,63,24.45,1.06,0,0,0
1013,Basic,29.0,58.0,2,2,4,50.0,145,37,24.53,1.97,1,0,0
1014,Basic,29.0,58.0,8,2,5,60.0,118,40,26.52,1.96,0,0,0
1015,Pro,99.0,198.0,1,12,10,-20.0,194,43,23.5,1.47,0,0,0
1016,Pro,99.0,198.0,2,8,6,-33.33,152,25,21.56,1.63,0,0,0
1017,Basic,29.0,58.0,12,2,9,77.78,156,35,28.06,1.39,1,1,0
1018,Enterprise,299.0,598.0,3,4,6,33.33,123,35,27.1,1.92,0,0,0
1019,Basic,29.0,58.0,0,14,8,-75.0,198,46,21.57,1.26,0,0,0
1020,Pro,99.0,347.0,0,19,11,-72.73,246,54,28.57,1.14,0,0,0
1021,Basic,29.0,58.0,1,11,11,0.0,247,58,23.75,1.16,0,0,0
1022,Basic,29.0,58.0,18,0,5,100.0,140,27,22.87,1.36,1,1,0
1023,Basic,29.0,58.0,6,2,2,0.0,108,26,23.55,2.77,0,0,0
1024,Basic,29.0,58.0,2,4,5,20.0,131,34,25.73,1.98,1,0,0
1025,Pro,99.0,297.0,0,14,10,-40.0,246,62,24.22,1.11,0,0,0
1026,Enterprise,299.0,747.0,1,3,2,-50.0,117,30,27.16,2.41,0,0,0
1027,Enterprise,299.0,598.0,19,0,6,100.0,124,32,27.19,1.3,1,1,1
1028,Pro,99.0,198.0,6,2,8,75.0,94,26,19.13,2.28,1,1,1
1029,Basic,29.0,58.0,0,13,13,0.0,246,70,18.13,1.09,0,0,0
1030,Basic,29.0,306.0,0,14,9,-55.56,236,75,21.31,1.27,0,0,0
1031,Basic,29.0,157.0,0,11,10,-10.0,225,56,25.35,1.25,0,0,0
1032,Pro,99.0,347.0,1,12,9,-33.33,207,68,24.38,1.24,0,0,0
1033,Basic,29.0,58.0,1,3,1,-200.0,134,41,26.07,2.25,0,0,0
1034,Basic,29.0,58.0,0,6,2,-200.0,134,29,21.85,2.27,0,0,0
1035,Basic,29.0,77.0,15,0,7,100.0,167,43,24.56,1.26,1,1,1
1036,Pro,99.0,198.0,0,11,11,0.0,211,61,26.15,1.3,0,0,0
