timestamp,user_id,churn_probability,action_name,reason,discount_pct,ltv,net_roi,execution_status
2026-08-15 14:11:55,3510,0.8351,1-on-1 Strategy Call + 15% Discount,Action '1-on-1 Strategy Call + 15% Discount' approved. Proposed discount (15.0%) within policy cap of 15.0%.,15.0,1188.0,177.2,SIMULATED_SUCCESS
2026-08-15 14:11:55,1005,0.88,VIP Dedicated Tech Escalation + 20% Discount,Action 'VIP Dedicated Tech Escalation + 20% Discount' approved. Proposed discount (20.0%) within policy cap of 20.0%.,20.0,3588.0,357.8,SIMULATED_SUCCESS
2026-08-15 17:31:20,3510,0.8351,1-on-1 Product Onboarding & Re-engagement,Action '1-on-1 Product Onboarding & Re-engagement' approved. Proposed discount (15.0%) within policy cap of 15.0%.,15.0,1188.0,177.2,EXECUTED_SUCCESS
2026-08-15 17:31:20,1005,0.88,VIP Dedicated Technical Escalation,Action 'VIP Dedicated Technical Escalation' approved. Proposed discount (20.0%) within policy cap of 20.0%.,20.0,3588.0,357.8,EXECUTED_SUCCESS
2026-08-15 17:31:20,2040,0.75,30% Discount Promotion,Action '30% Discount Promotion' approved. Proposed discount (10.0%) within policy cap of 10.0%.,10.0,348.0,68.6,EXECUTED_SUCCESS
2026-08-15 17:44:19,9999,0.8,40% Excessive Discount,Action '40% Excessive Discount' approved. Proposed discount (10.0%) within policy cap of 10.0%.,10.0,348.0,68.6,EXECUTED_SUCCESS
2026-08-15 18:19:44,3510,0.8351,Discount Offer,High churn risk (83.5%) driven by recent inactivity (0 sessions in 14 days). Offered 15% discount to re-engage.,15.0,1188.0,177.2,EXECUTED_SUCCESS
2026-08-15 18:30:11,3510,0.8351,discount_and_support_outreach,Action approved after retry at max allowed discount cap of 15%,15.0,1188.0,98.88,EXECUTED_SUCCESS
2026-08-15 18:30:31,1099,0.12,No Action Required,User churn probability (12.0%) is below the 35% risk threshold. Ineligible for retention discount.,0.0,348.0,0.0,HALTED_CLEANLY
2026-08-15 18:30:54,2040,0.75,Targeted Re-engagement Discount,Action 'Targeted Re-engagement Discount' approved. Proposed discount (10.0%) within policy cap of 10.0%.,10.0,348.0,191.62,EXECUTED_SUCCESS
2026-08-15 22:01:59,9999,0.8,10% Standard Discount,Action '10% Standard Discount' approved. Proposed discount (10.0%) within policy cap of 10.0%.,10.0,348.0,191.62,EXECUTED_SUCCESS
2026-08-15 22:03:03,9999,0.8,10% Max Allowed Discount,Action '10% Max Allowed Discount' approved. Proposed discount (10.0%) within policy cap of 10.0%.,10.0,348.0,68.6,EXECUTED_SUCCESS
2026-08-15 22:03:08,1099,0.12,No Action - Low Risk,User churn probability (12.0%) is below the 35% risk threshold. Ineligible for retention discount.,0.0,348.0,0.0,HALTED_LOW_RISK
2026-08-15 22:17:40,3510,0.8351,Discount Offer & Concierge Outreach,Action 'Discount Offer & Concierge Outreach' approved. Proposed discount (15.0%) within policy cap of 15.0%.,15.0,1188.0,98.88,EXECUTED_SUCCESS
2026-08-15 22:26:08,1001,0.748,Discount Offer + Proactive Support Outreach,Action 'Discount Offer + Proactive Support Outreach' approved. Proposed discount (0.2%) within policy cap of 10.0%.,0.2,348.0,102.7,EXECUTED_SUCCESS
2026-08-15 22:30:00,3510,0.8351,offer_discount,Action 'offer_discount' approved. Proposed discount (15.0%) within policy cap of 15.0%.,15.0,1188.0,98.88,EXECUTED_SUCCESS
2026-08-15 22:30:29,3510,0.8351,discount_and_support_outreach,Action 'discount_and_support_outreach' approved. Proposed discount (15.0%) within policy cap of 15.0%.,15.0,1188.0,98.88,EXECUTED_SUCCESS
