user_id,churn_probability,plan_tier,monthly_fee,ltv,primary_driver,is_eligible,approved_action,approved_discount_pct,expected_value_saved,discount_cost,total_intervention_cost,net_impact,roi_percentage,status_note
3222,0.0005,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2328,0.0035,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1967,0.1235,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1625,0.0344,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2618,0.0004,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3891,0.0002,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2732,0.0293,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3850,0.0008,Enterprise,299.0,3588.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3374,0.0004,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2334,0.0689,Basic,29.0,348.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3808,0.5758,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
1110,0.5602,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
3669,0.1404,Basic,29.0,348.0,session_drop_pct,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2564,0.0002,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2293,0.0679,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2609,0.0005,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3368,0.0005,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1559,0.6477,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
1882,0.0004,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3277,0.5487,Basic,29.0,348.0,sessions_recent_14d,True,Re-engagement Strategy Call,10.0,104.4,34.8,35.8,68.6,191.62,Proposed discount (15.0%) exceeds maximum allowed cap of 10.0% for LTV $348.00.
3917,0.0033,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1876,0.0066,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1042,0.0003,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3474,0.043,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3043,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3784,0.1461,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1212,0.0007,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2208,0.4939,Pro,99.0,1188.0,sessions_recent_14d,True,Re-engagement Strategy Call,15.0,356.4,178.2,179.2,177.2,98.88,Action 'Re-engagement Strategy Call' approved. Proposed discount (15.0%) within policy cap of 15.0%.
2745,0.0004,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
1585,0.0009,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
3343,0.0004,Pro,99.0,1188.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2492,0.0265,Pro,99.0,1188.0,support_ticket_count,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2896,0.0002,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
2923,0.0265,Basic,29.0,348.0,sessions_recent_14d,False,No Action (User Safe),0.0,0.0,0.0,0.0,0.0,0.0,Ineligible: Churn risk below 35% threshold.
