ticket_id,user_id,created_at,category,status
t_1,1001,2026-02-15 17:00:00,onboarding,escalated
t_2,1002,2026-01-08 14:00:00,onboarding,resolved
t_3,1004,2026-02-02 12:00:00,onboarding,resolved
t_4,1006,2026-02-09 16:00:00,billing,resolved
t_5,1009,2026-01-02 09:00:00,billing,open
t_6,1010,2026-01-19 13:00:00,feature_request,resolved
t_7,1013,2026-01-08 10:00:00,billing,resolved
t_8,1017,2026-02-18 09:00:00,billing,open
t_9,1017,2026-03-30 15:00:00,bug,escalated
t_10,1022,2026-02-12 13:00:00,onboarding,open
t_11,1024,2026-02-23 10:00:00,bug,resolved
t_12,1024,2026-03-17 14:00:00,billing,resolved
t_13,1027,2026-02-11 10:00:00,onboarding,open
t_14,1028,2026-02-15 11:00:00,feature_request,escalated
t_15,1031,2026-03-24 15:00:00,billing,resolved
t_16,1035,2026-02-11 14:00:00,billing,open
t_17,1040,2026-03-31 13:00:00,feature_request,resolved
t_18,1041,2026-01-11 17:00:00,bug,resolved
t_19,1042,2026-01-14 16:00:00,bug,resolved
t_20,1044,2026-01-22 08:00:00,bug,resolved
t_21,1053,2026-03-10 14:00:00,billing,resolved
t_22,1058,2026-02-07 13:00:00,onboarding,open
t_23,1061,2026-01-29 09:00:00,billing,resolved
t_24,1061,2026-02-03 08:00:00,bug,escalated
t_25,1067,2026-01-17 11:00:00,bug,resolved
t_26,1070,2026-02-16 15:00:00,onboarding,escalated
t_27,1071,2026-03-20 11:00:00,bug,resolved
t_28,1080,2026-02-05 14:00:00,billing,resolved
t_29,1081,2026-01-24 15:00:00,bug,resolved
t_30,1083,2026-02-18 16:00:00,bug,open
t_31,1087,2026-02-19 14:00:00,billing,resolved
t_32,1092,2026-02-01 15:00:00,onboarding,open
t_33,1092,2026-02-19 12:00:00,billing,resolved
t_34,1096,2026-02-02 17:00:00,feature_request,open
t_35,1099,2026-02-04 13:00:00,bug,open
t_36,1102,2026-02-16 16:00:00,onboarding,open
t_37,1110,2026-02-16 16:00:00,billing,open
t_38,1113,2026-01-20 08:00:00,feature_request,resolved
t_39,1115,2026-02-18 08:00:00,feature_request,resolved
t_40,1121,2026-02-11 10:00:00,billing,escalated
t_41,1121,2026-03-11 17:00:00,billing,open
t_42,1122,2026-01-28 16:00:00,billing,resolved
t_43,1123,2026-02-15 11:00:00,feature_request,resolved
t_44,1123,2026-03-25 11:00:00,bug,open
t_45,1124,2026-02-12 12:00:00,billing,open
t_46,1124,2026-02-28 10:00:00,feature_request,escalated
t_47,1124,2026-03-14 08:00:00,billing,resolved
t_48,1125,2026-02-14 10:00:00,onboarding,open
t_49,1131,2026-02-02 15:00:00,bug,open
t_50,1137,2026-02-07 13:00:00,bug,open
t_51,1145,2026-02-05 09:00:00,feature_request,resolved
t_52,1150,2026-03-29 13:00:00,billing,resolved
t_53,1153,2026-02-17 08:00:00,bug,open
t_54,1156,2026-01-28 15:00:00,bug,resolved
t_55,1157,2026-02-06 17:00:00,feature_request,resolved
t_56,1157,2026-03-24 12:00:00,feature_request,escalated
t_57,1158,2026-01-04 17:00:00,bug,resolved
t_58,1164,2026-02-13 15:00:00,feature_request,resolved
t_59,1165,2026-01-07 12:00:00,bug,resolved
t_60,1176,2026-02-15 17:00:00,bug,escalated
t_61,1179,2026-02-04 10:00:00,onboarding,open
t_62,1184,2026-02-17 17:00:00,billing,escalated
t_63,1188,2026-02-08 14:00:00,onboarding,resolved
t_64,1190,2026-01-10 16:00:00,billing,open
t_65,1191,2026-03-17 16:00:00,bug,resolved
t_66,1192,2026-02-15 12:00:00,onboarding,escalated
t_67,1198,2026-02-07 09:00:00,feature_request,resolved
t_68,1201,2026-02-18 14:00:00,onboarding,open
t_69,1203,2026-01-14 09:00:00,bug,resolved
t_70,1203,2026-02-10 10:00:00,billing,open
t_71,1206,2026-02-05 14:00:00,bug,resolved
t_72,1214,2026-01-31 12:00:00,billing,open
t_73,1221,2026-02-12 14:00:00,billing,open
t_74,1223,2026-02-05 16:00:00,billing,open
t_75,1226,2026-01-13 14:00:00,billing,resolved
t_76,1227,2026-02-04 11:00:00,billing,open
t_77,1229,2026-03-12 12:00:00,billing,resolved
t_78,1230,2026-01-10 14:00:00,onboarding,resolved
t_79,1231,2026-03-26 12:00:00,bug,resolved
t_80,1235,2026-02-14 11:00:00,bug,escalated
t_81,1236,2026-01-31 16:00:00,billing,resolved
t_82,1237,2026-02-03 08:00:00,bug,open
t_83,1238,2026-02-13 15:00:00,billing,open
t_84,1243,2026-02-16 11:00:00,feature_request,resolved
t_85,1245,2026-02-07 13:00:00,bug,resolved
t_86,1248,2026-03-22 09:00:00,bug,resolved
t_87,1250,2026-02-03 12:00:00,billing,escalated
t_88,1254,2026-03-19 13:00:00,billing,resolved
t_89,1256,2026-01-19 11:00:00,bug,resolved
t_90,1257,2026-02-07 17:00:00,billing,resolved
t_91,1257,2026-02-14 14:00:00,bug,open
t_92,1262,2026-02-18 13:00:00,bug,escalated
